# FieldName,FieldRA,FieldDec,Telscope,Filter,ExpTime,Priority,Status
S008ABE0245,06:02:57.38,-26:41:37.04,SWOPE,r,300.0,0.0005843810419830918,False
S008ABE0246,05:56:18.52,-26:41:37.04,SWOPE,r,300.0,0.0005841199675651962,False
S008ABE0247,05:51:20.55,-37:07:40.16,SWOPE,r,300.0,0.0005766553994483962,False
S008ABE0248,06:08:48.39,-37:37:28.88,SWOPE,r,300.0,0.0005699902435523131,False
S008ABE0249,05:56:18.52,-27:11:25.76,SWOPE,r,300.0,0.0005694923791074585,False
S008ABE0250,05:49:37.89,-27:11:25.76,SWOPE,r,300.0,0.0005688249226340509,False
S008ABE0251,06:09:43.38,-27:41:14.48,SWOPE,r,300.0,0.0005645516558679465,False
S008ABE0252,06:01:18.47,-37:37:28.88,SWOPE,r,300.0,0.0005640583626522915,False
S008ABE0253,05:47:21.94,-27:41:14.48,SWOPE,r,300.0,0.0005602364683257663,False
S008ABE0254,01:33:28.69,-31:39:44.24,SWOPE,r,300.0,0.0005530108043410747,False
S008ABE0255,06:03:51.48,-38:07:17.60,SWOPE,r,300.0,0.0005515931123068315,False
S008ABE0256,06:15:33.57,-34:38:36.56,SWOPE,r,300.0,0.0005515257494276798,False
S008ABE0257,05:51:22.48,-36:37:51.44,SWOPE,r,300.0,0.0005468743673912519,False
S008ABE0258,06:02:59.14,-27:11:25.76,SWOPE,r,300.0,0.0005391012414114162,False
S008ABE0259,06:00:44.42,-26:41:37.04,SWOPE,r,300.0,0.0005366843322619157,False
S008ABE0260,06:18:30.68,-36:37:51.44,SWOPE,r,300.0,0.0005258458587802719,False
S008ABE0261,05:44:58.28,-29:10:40.64,SWOPE,r,300.0,0.0005254754898871147,False
S008ABE0262,06:13:48.34,-37:37:28.88,SWOPE,r,300.0,0.0005221764698874667,False
S008ABE0263,05:42:07.24,-33:09:10.40,SWOPE,r,300.0,0.0005179630551420558,False
S008ABE0264,06:05:17.56,-28:11:03.20,SWOPE,r,300.0,0.0005169686912505877,False
S008ABE0265,06:07:35.50,-28:40:51.92,SWOPE,r,300.0,0.0005149734049181732,False
S008ABE0266,06:05:20.10,-28:40:51.92,SWOPE,r,300.0,0.0005139583551655717,False
S008ABE0267,06:00:43.28,-26:11:48.32,SWOPE,r,300.0,0.0005114268403702855,False
S008ABE0268,06:12:30.25,-31:09:55.52,SWOPE,r,300.0,0.0005087281231862732,False
S008ABE0269,06:15:01.01,-32:09:32.96,SWOPE,r,300.0,0.0004976036575814367,False
S008ABE0270,01:32:33.17,-31:09:55.52,SWOPE,r,300.0,0.0004938557063903023,False
S008ABE0271,05:45:13.75,-26:41:37.04,SWOPE,r,300.0,0.0004922911720853737,False
S008ABE0272,06:18:05.84,-35:08:25.28,SWOPE,r,300.0,0.000490945412723823,False
S008ABE0273,06:18:39.38,-37:07:40.16,SWOPE,r,300.0,0.0004889073723876814,False
S008ABE0274,01:25:09.53,-29:40:29.36,SWOPE,r,300.0,0.0004886146579577892,False
S008ABE0275,06:18:22.20,-36:08:02.72,SWOPE,r,300.0,0.0004859133806141902,False
S008ABE0276,06:21:08.36,-37:07:40.16,SWOPE,r,300.0,0.00048566605626272483,False
S008ABE0277,05:51:54.87,-25:41:59.60,SWOPE,r,300.0,0.00048110673479970873,False
